C++ Loop Execution time (ns),Java Loop Execution time (ns)
58062,432820
27474,393303
27574,344355
27471,389373
27566,353360
27599,92943
27524,94335
27603,104582
27566,91623
27645,114097
27525,103043
27585,87442
27598,91641
34858,114614
27590,90557
27537,129003
27568,124560
27623,90591
27410,88395
27361,92168
27468,87747
27612,89329
27695,91633
27461,136381
27464,88050
27499,113052
27420,108951
27448,88602
27609,90179
27417,90180
27491,93072
27557,87710
27495,92819
27618,143533
27556,89927
27519,92007
27590,88809
27550,88334
27584,94273
27553,86885
27536,89497
27342,87370
27512,93404
27541,132352
27512,88278
27600,93761
27454,87038
27578,89922
27588,91053
42664,90093
27602,87316
27641,92821
27541,87549
27536,90400
27505,117193
27574,110347
27546,87530
27565,89366
27545,93652
27592,87807
27646,89173
27541,91512
27480,89434
27570,87654
27575,95146
27492,131970
27433,88436
27379,92180
27515,88908
27467,109186
27547,39264
27551,42791
27560,38423
27647,40843
27573,41755
27575,40762
27632,38200
27697,44066
27578,39806
27566,39095
27478,43342
27409,39054
27652,89742
27472,38639
47792,42954
27605,38105
27689,43958
27461,42180
27507,40383
27427,37673
27507,43671
27535,38824
27478,39631
27449,42711
27348,39762
27437,40037
27511,41167
27547,40369
27493,37775
27460,39515
27538,40084
27670,40936
27380,37751
27391,42382
27566,38752
27547,45922
27474,82950
27475,39355
27475,39336
27527,40782
27444,40374
27580,37960
27555,39416
27503,40335
27442,40772
27473,38718
27606,42555
27463,38947
27415,40625
27519,40706
33530,40609
27744,40350
27426,40651
27474,42665
27563,39018
27508,42542
27645,38622
27617,41535
27586,37918
27444,45233
27433,39057
27512,39173
27511,40731
27511,39124
27502,40562
27491,42367
27494,40646
27452,40066
27387,42125
27521,37944
27518,40158
27555,38130
27461,53061
27418,39130
27582,41425
27542,40257
35393,40270
35343,38712
34221,42351
33976,39445
34435,40414
33634,41842
34678,37954
34919,43761
39956,41281
34301,40160
35056,39067
34524,40155
33717,40668
27559,41032
27490,40553
27434,43523
27479,37721
27504,40046
27551,41936
27630,38451
27512,40716
27505,41133
27439,43303
27447,40318
27543,39180
27454,41560
27432,38305
27489,40457
27490,40737
27551,40543
27612,38145
27470,43240
27579,42349
27451,41332
27564,41845
27526,39948
27602,39070
27600,41018
27460,40370
27566,38875
27587,40374
27459,40909
27451,41001
35471,38739
27610,42492
27447,38579
27437,39550
27484,43027
27570,39593
27539,37815
27513,43529
27386,39819
27587,39459
27703,41208
27503,41143
27531,40079
27635,38865
27498,46397
27454,38145
27480,40484
27519,42105
34522,39450
34299,38806
36238,42015
34753,41019
35078,39160
35804,42181
36415,38789
32865,39356
27671,37786
27745,43316
27557,38583
27601,41249
27399,41024
27657,41930
27631,39124
34670,42045
27570,39124
27552,40292
27557,41251
27514,38556
27513,42676
27459,37931
27486,42655
27534,38266
27483,40276
27433,40868
27421,41200
27475,38336
27523,42341
27465,40864
27606,40965
27568,40477
27502,40987
27466,58467
27428,38750
27513,42743
27516,40649
27616,40459
27568,40614
27525,41244
27478,38527
27554,42061
27503,38958
27554,39358
27598,41206
27461,43130
27518,41665
27551,42596
27409,57407
27516,39844
27495,39828
37853,40429
27518,41225
27466,38701
27435,43114
27490,39361
27507,42031
27534,41177
27505,40064
27534,39791
27463,45247
27569,40381
27548,38905
27611,41852
27449,42147
27414,2534457
27551,29212
27470,19036
27549,18811
27519,18061
27383,19325
27500,79443
27473,36770
27459,39438
27479,37318
27540,36863
27488,39990
27511,38449
27552,34621
27538,37242
27432,35988
27576,42095
27462,35887
27421,65183
27447,54980
27535,35643
27500,39176
33784,39709
27640,35139
27498,37179
27494,14190
27458,10192
50478,11501
32617,12364
27501,11169
27474,12336
27304,9659
27525,11715
27515,11665
27581,12187
27558,11500
27453,9765
27444,11688
27624,11890
27443,11633
27520,12395
27608,9676
27456,12703
27425,12574
27433,13204
27530,13544
27537,10157
27590,13715
27436,14712
27497,12986
27557,11934
27605,10034
27535,12681
27438,11479
27400,11823
27462,11350
27438,9693
33349,11724
27493,12379
27381,11654
27575,12496
27583,9727
27438,12481
27459,11864
27615,22053
27438,12122
27456,9721
27557,11975
27516,12632
27551,12492
33272,11977
33524,9738
34694,12689
33940,11778
34085,13271
33554,12493
34145,10686
35641,12327
36536,12176
36277,12236
36409,12506
36173,9595
36243,12546
36052,11629
36348,12594
34363,39336
35822,10758
35042,13362
43798,25538
35223,12665
36086,12262
36428,9680
36210,12156
35697,11709
36180,12470
36877,12640
36288,9901
36830,12102
35762,13198
34473,12309
36354,12451
35163,9877
35647,12735
36369,16186
36232,12237
36176,9508
36150,9610
36112,9422
36131,9593
36303,9429
36345,9759
36573,9419
36585,9553
36343,22961
35256,9614
42863,9412
35496,9576
36216,9506
33713,9584
35497,9469
52300,9560
34928,9479
35757,9674
35852,9544
35005,9817
36162,9603
36324,9860
35573,9640
36153,10031
36595,9876
34738,9853
34480,9426
34715,9626
35025,9463
34640,9576
33817,9392
33675,9556
33525,9458
35512,9561
35445,9435
34360,9540
34569,9452
34403,9602
43439,9495
34913,9519
30122,9945
27602,9563
27575,9477
27423,9688
27552,9526
27522,10067
27576,9597
27611,9841
27528,9657
27585,10639
28803,9705
34327,9969
27490,9561
31460,9545
31283,9495
27591,9577
27531,9415
27548,9906
27517,9444
33844,9648
28389,9446
27570,9562
27587,9674
27618,10069
27575,9501
27636,9524
27552,9629
31103,10080
29471,9654
27529,10039
27699,9726
27729,10011
35544,16989
27528,32232
33403,25062
27694,10779
33767,9839
29449,10596
27464,10188
27494,10031
27390,10069
27642,9854
27507,9443
27511,9538
27690,9607
27689,10018
27441,9710
27538,9657
27532,9662
27609,9514
27408,9555
27566,9757
27535,9678
27678,10021
27629,9447
27598,9645
27584,9684
27596,10166
27586,9709
27717,9942
27677,9618
27707,10077
27898,9903
27929,11354
27540,9675
27565,10502
27745,9418
27526,9965
37533,9558
27575,9955
27598,9556
27551,9769
27464,9898
27578,9893
27605,9619
27484,9540
27389,9440
27593,9686
27577,9722
27589,10179
27600,9553
27463,9680
27530,9580
27546,9939
27742,10219
260708,9844
27661,9877
27560,10311
27462,10769
27441,10553
27579,9730
27522,10300
27496,9765
27455,9806
27546,9923
35012,9930
27474,9465
27430,9808
27586,9631
27581,10658
27546,9880
27645,10358
27522,9543
27494,9894
27529,9666
27518,10087
27483,10034
27421,15252
27445,17923
27895,10061
27615,10610
27673,11101
27504,11236
27604,11284
27529,10818
27598,10347
27660,9973
27600,11162
27460,10221
27569,10426
27382,9429
27501,9571
27430,9643
27537,9932
27619,9880
27492,9781
27613,9750
27482,64933
27389,13433
27484,12408
27502,24650
34561,11665
27659,11693
27461,9843
27566,9947
27519,9890
27666,9740
27719,9762
27526,9786
27418,10103
27567,10823
27615,10215
27560,9483
27540,9586
27516,9935
27530,9586
27512,9525
27791,10459
27662,9500
27570,9573
27551,9369
27519,9586
27560,9442
27642,9704
27570,9423
27691,9577
27518,9441
27542,9553
27496,9528
27573,9807
27519,9563
27568,9731
27467,9659
27605,9862
27663,9673
27524,9952
27493,9820
31685,52369
27447,41715
27580,39905
27572,45204
27691,38047
27470,39776
27605,39658
27524,42641
27548,38026
27637,41732
27472,41156
27617,40224
27479,98696
27562,132874
27646,54846
27641,92388
27531,59732
27493,74336
29122,51500
27764,42089
27747,84206
27643,52015
27513,68291
27642,41476
27574,50644
27476,53084
27635,60325
27679,74459
27666,55800
27504,59475
27499,49757
27527,53363
27491,57133
27562,50987
27749,49820
32133,52494
27527,59118
27799,41901
27786,38054
27697,44618
27630,40731
27539,39665
27625,44369
27462,38106
27571,54630
27697,42513
27679,41999
27869,95077
27522,41106
27567,42225
27578,40658
27472,37866
27871,44786
27665,38784
27603,39805
27593,42060
27541,40708
27440,40829
27486,42416
27442,42398
27522,38136
27594,56726
27555,40815
27423,40870
27547,61023
27569,59125
27528,54065
27476,54977
27601,95966
27506,42347
27555,38900
32347,42382
27556,40701
27618,39169
27565,42378
27389,40191
27632,39583
27708,51862
27474,43643
27454,38802
27600,40321
27602,40969
27463,40705
27404,38045
27597,41922
27547,41396
27465,38151
27498,41635
27508,37977
27542,41784
27579,39070
27600,92527
27597,39903
27631,39836
27514,52533
27604,40781
27441,38140
27544,42512
27534,38442
27409,40490
27414,41411
27541,38793
27483,40286
27454,41752
31573,1530842
35152,10770
28656,12848
32125,13005
28105,13070
33900,13103
34227,13426
33433,13542
33649,13121
33884,12718
33553,10106
34296,9583
35473,10032
34831,10099
34521,10024
34057,9716
33984,9414
34339,9902
35314,10423
34916,9685
30132,9542
27489,9784
29798,9582
33284,9950
27505,9669
27527,10243
27384,10030
27504,9772
27430,10036
27417,9678
30047,9517
31684,9670
30264,9820
32058,10241
37781,9699
30108,9939
27503,9776
27614,31799
34650,9862
27535,9704
27543,10278
27503,13363
27415,13081
27475,13147
32708,13035
28731,13526
27977,12424
27619,13102
27500,12825
27392,9890
27483,10166
32987,10289
27469,10593
31527,9924
31782,9673
27718,9476
27561,9685
27593,9451
27550,9894
27444,9553
27446,9968
27386,9475
27359,9582
31354,10427
27465,10765
27542,9932
27642,10479
27515,9780
27471,10069
34501,10085
27558,10216
27525,9688
28220,10276
28217,9870
27537,10483
27572,10045
27549,10519
27524,9988
27465,10577
27611,10281
27566,12923
27501,12892
27602,13142
27503,52572
27675,16044
27506,12710
27513,38843
27512,13243
27527,10913
27474,9858
27669,9840
27521,9871
27578,9993
27472,9926
27511,9920
27642,9900
27469,9970
27474,10072
27576,9682
27516,9957
27514,31415
27508,10028
27529,9673
27477,25972
27564,13025
32831,9994
27517,9920
27562,10297
27618,9669
27456,9755
27418,9634
27509,9580
27533,10397
27442,10083
27407,9706
27497,10506
27507,9947
27604,9710
27531,10556
27584,13298
27560,13497
27599,14079
27542,14058
27418,14106
27447,13942
27500,13950
27585,14020
27535,10081
27475,10165
27546,10484
27505,10523
27378,10553
27510,10131
27556,9946
27622,10234
27580,9569
27490,9690
27643,10060
27490,10520
27431,9887
27462,9950
32779,10581
27569,9596
27614,10387
27573,9926
27441,10658
27548,10248
27448,9912
27491,10173
27439,9873
27654,10025
27658,10226
27586,10229
27498,10098
27637,10119
27556,10356
29978,9845
27582,10157
27951,13582
27584,13702
27722,13383
28021,13095
28031,13892
28314,14180
28248,14322
27943,61122
28282,31082
28077,10522
28011,10364
28453,10185
28348,9559
28631,9572
27895,10534
28511,10950
28199,10152
28089,11278
42909,10276
33830,9970
27616,10943
27826,10408
27610,10287
