Array Size,C++ Median (ns),C++ ExecTime (ms),Java Median (ns),Java ExecTime (ms)
100,85931,121,9608,153
120,107140,162,12482,183
140,129975,207,15439,228
160,153765,252,18578,278
180,166554,303,25232,331
200,207398,365,25698,389
220,230356,417,33600,454
240,267232,482,39234,522
260,289003,551,45509,599
280,330903,633,46301,672
300,364897,730,52399,749
320,403901,804,60168,841
340,441993,897,66675,930
360,482138,988,77965,1041
380,523712,1073,87558,1134
400,571887,1217,91785,1251
420,614597,1312,103651,1385
440,661340,1407,118194,1484
460,701890,1521,115832,1588
480,762370,1649,123758,1720
