C++ Loop Execution time (ns),Java Loop Execution time (ns)
547,19772
115400,80147
300394,253402
633670,601727
1074041,1239961
1560385,647928
2117081,848486
2918521,1150903
3652185,1443091
4614043,1828585
5570445,2234716
6647731,2817455
7856875,2191438
9227046,3892776
10878277,4656372
12770365,5749207
14097744,6201263
15665544,4892026
17687795,9028886
21519666,2919549
368,1546
120792,11369
335821,31091
680845,51722
1086779,88628
1904081,145200
2236887,238689
2989683,332256
3988047,431177
4899818,585664
6350258,747336
6652626,883244
7868870,1095214
9153830,1253377
10732408,1476716
12053738,1706217
14292037,4524243
16017427,2220743
17566176,2702512
21383183,2997771
370,1082
119062,10847
339083,30006
640453,49723
1048438,89896
1536015,159687
2136592,241020
2843140,332411
3674153,431699
4572494,559517
5558731,710370
6665556,883373
7936940,2905361
9424823,2480854
10712506,2930453
12057370,3347854
13858883,3855118
15564690,4442934
17587824,5079116
20282981,5814087
381,780
123948,71620
345660,62895
634283,128007
1036715,223191
1539248,333350
2142682,501471
2851141,688904
3692632,887902
6593062,1121891
6989209,1379917
7302975,1767304
8727266,2127692
10161064,2531883
10733853,2890835
13308485,3369693
14766923,3919850
19208772,4391423
17544793,4963396
19698405,5799064
420,1249
120254,22861
335193,62584
634822,131615
1040128,216775
1538183,341700
2132308,501100
2838292,680511
3664564,881426
4742432,1114085
5789111,1371114
7210433,1768570
7896385,2106776
9141078,2466552
10624908,2853328
12045593,3361666
13914477,3778729
15547951,4367079
17402945,4929465
19600083,5776669
372,933
120544,23130
301056,61629
574292,129970
925230,223372
1493483,334177
2134985,505099
2968310,677233
4032335,871882
4838963,1113874
6162280,1385888
7680126,1757313
8353439,2088350
9365779,2499119
10994269,2840485
12065181,3302326
13911437,3805569
16470435,4408598
18133299,4913022
19686871,5912713
417,864
124442,22188
337050,67677
635823,129047
1045846,218797
1533656,333331
2138389,498568
2853389,677410
3667841,883751
4632581,1114104
5561261,1382313
6645732,1774874
7869606,3558497
9132031,1249022
10812167,1538502
12117085,1734081
13872608,1948825
15649071,2308476
17640591,2646314
22098855,3122066
418,869
162513,11158
333370,28393
682534,50693
1034697,90778
1531620,157749
2182282,239183
2849688,335073
3656995,453771
4555617,571721
5554057,705786
6637858,886018
7837276,1042664
9150605,1267517
10716231,1606079
12129492,1759375
13937288,1966624
15630650,2285786
17505113,2620750
19813759,3151013
351,1108
120900,11349
341137,27975
632777,48980
1047372,90234
1535827,145154
2135160,245422
2843313,333947
3666239,433005
4595327,578678
5613250,700328
6650960,879127
7853689,1192124
9143939,1216288
10773010,1432807
12012960,1667103
13878969,1889122
15630727,2216898
17559808,2563168
19667897,3066959
367,1876
120147,11237
340541,28852
634530,67832
1040635,88127
1538161,142807
2123403,234133
2844388,332642
3649006,451653
4610415,561600
6109321,710688
6940274,874288
7902327,1066101
9114166,1257487
10832712,1471014
11993229,1698933
13904945,1864798
15706606,2190333
17325770,2550795
19446738,3222683
347,912
165134,11189
301494,29761
573537,52535
973346,90023
1570436,138211
2209863,237490
2871930,325601
3660365,442819
4549765,554718
5577202,724609
6627277,878205
7877456,1049853
9218976,2287512
12052729,1590856
12383147,1740933
14387631,1999372
16745345,2297871
17474567,2668024
20074299,3179247
370,1085
119981,11646
336841,29651
645636,50158
1041611,90725
1534169,146469
2144661,244639
2854077,334311
3683336,431273
4836360,571617
5955721,712653
6672396,894053
7853560,1065777
9185834,1270364
10777580,1555544
12036954,1752046
13845286,1959723
15593556,2288026
17613293,2580325
19596658,3157441
359,986
121394,11996
335622,29045
641092,49004
1042217,88365
1538752,149941
2130668,239101
2851278,335950
3684434,435902
4603503,555369
5566775,710460
6644117,869948
7852475,1055733
9173931,1266192
11203102,1490301
12510063,1670787
13951531,1978326
15572823,2294644
17801625,2489918
19923176,3179827
330,1072
120234,11407
335990,25251
637470,67904
1045761,92058
1532520,145107
2136440,315866
2845898,563034
3659308,525588
4553063,588658
5638826,854121
6641770,979237
7834617,1094823
9134241,1319611
10652997,1728584
11998539,1785672
13952588,2025574
15919056,2271421
17330655,2600200
20386493,3126442
363,1416
121759,10676
345696,29029
689677,50045
1085887,88049
1650830,143545
2246605,242870
2937278,370361
3657344,441497
4632569,601242
5884899,769857
6630747,922130
7866894,1102418
9587770,2673885
10642811,1589703
12046826,1691188
13853282,1955079
15529606,2292758
17330197,2542093
19456071,3141370
363,1180
118179,11498
301414,28399
575292,50584
923661,87342
1487967,143542
2123804,237665
2846322,330024
3682866,438282
4571852,571392
5585787,700190
6772089,870190
7869775,1034560
9180157,1232908
10837682,1526588
12102461,1715892
13807188,1951969
15663224,2236078
17872483,2591582
19604488,3024567
373,1060
117963,11200
334138,29263
637053,49336
1037318,98475
1537055,142655
2128704,238230
2841902,328279
3689339,439721
4548708,557364
5561352,719895
6634734,884483
7836861,1062345
9157390,1215121
10832198,1566260
12023922,1668329
13770863,1949968
15744447,2173318
17373676,2513738
19662238,3051138
357,941
119363,11594
331424,30333
643213,49539
1036772,89524
1547486,146404
2131901,240851
2844571,332520
3667592,429278
4562699,574642
5584597,710686
6664974,870344
7855046,1070631
9155590,1232808
10706441,1489749
12297395,1685671
15660723,1870145
15983039,2198379
20564832,2465356
20390142,2936344
399,871
121049,11235
336133,29522
642033,49764
1041185,87851
1531916,146354
2135739,237424
2849841,325670
3657332,435205
4580587,559846
5623987,732671
6640205,880589
9558191,1084658
10296679,1216860
10759984,2451271
12532117,1748403
13960568,1980415
15570992,2348141
17433157,2604106
19661416,3098631
384,1912
121526,11345
335531,30074
638083,49471
1042339,88251
1534937,146936
2140288,236608
2843328,348322
3652450,441673
4621983,568802
5872159,710604
6624511,881608
7829984,1054943
9156005,1243099
10562449,1558074
12037248,1723247
13903762,1935589
15527882,2270613
17337143,2546045
20186598,2982399
358,862
118026,11749
302804,28286
574879,49764
922744,92076
1488261,143095
2130170,242193
2841991,331412
3673358,439767
4561294,561922
5582365,705921
6680712,871517
7871986,1047602
9263334,1236085
10853522,1461241
12067498,1646572
13846394,1912775
15674339,2212350
17526689,2489027
21358266,3179745
331,957
118863,9828
342723,24300
688971,48975
1089929,89181
1575758,143828
2137272,247022
2857813,328680
3669855,438567
4564326,559191
5575661,725541
6644770,867866
7845068,1049847
9197928,1228760
11474921,1489443
12863184,1662606
15539303,1806574
17082141,2253503
18390608,2505446
20094858,2895127
364,804
120320,10981
333421,29304
641135,53726
1038520,93287
1533591,147926
2141237,237583
2848605,329531
3664045,430015
4559452,550344
5572244,715321
6673547,886578
7866356,1087401
9160655,1291472
10780896,2548781
12072569,1728519
13725793,1946866
16473014,2329904
17889082,2587497
19721560,3139751
379,868
120343,11038
331460,30106
639498,50007
1041560,93084
1531970,143730
2136007,238932
2854711,346302
3648495,430399
4562307,567883
5653773,720741
6629133,905763
7822084,1052103
9152107,1234989
10629447,1587035
12028376,1727779
13874615,1972208
15506572,2279170
17649124,2593138
19570305,3089440
365,1064
121938,10951
332398,29572
644414,50577
1037585,89382
1544270,147604
2132979,241057
2845330,339719
3651550,428447
4623457,565573
5912821,701408
6629412,889045
7835652,1037386
9150980,1249566
10530017,1517985
11986361,1669920
15757029,1917434
16832336,2225277
19015759,2535277
21918933,3096229
371,1004
124022,11299
303555,27927
571175,54772
922160,90354
1493214,144184
2127856,234141
2836173,333212
3664971,436169
4569885,563422
6109676,715289
6900289,881905
7935704,1078884
9226269,1221013
10823887,1443288
12118820,1703446
13813694,1943586
15622091,2561758
17596421,2556189
19867029,2981946
351,914
118534,11564
338347,28384
635858,54666
1044160,89647
1534365,164377
2133572,238462
2843214,326636
3660909,455008
4558490,550897
5552628,731851
6638382,868326
7831889,1028204
9153560,1299218
10808253,2735969
12140420,1774923
13902860,2080682
15486855,2321370
17881705,2518722
20953915,3104872
373,904
119787,11280
338837,29822
639592,50769
1036324,87782
1535812,143943
2130429,253671
2850291,334176
3662732,434272
4566154,561811
5550403,691509
6663138,894496
7863941,1047457
9176967,1244051
10631487,1503719
12048330,1718024
13749154,1944254
15660793,2281200
17558968,2477048
19904888,2984122
391,753
121533,11188
334634,30026
640428,55019
1077550,91231
1715368,144791
2265656,236525
3054589,353107
3946009,442107
4776823,558250
5935990,781457
6933335,897385
7937699,1049318
9234298,1229442
10583480,1526667
12004102,1696273
13853196,1909367
15538992,2283876
19246530,2417428
20684147,2976101
349,930
126955,11829
332519,29585
684032,51519
1077384,91300
1616278,146736
2213205,234690
2848347,331162
3653323,432095
4635442,555712
5877973,741640
6638349,873864
7841076,1065198
9133855,1236804
10580688,1447344
12032572,1625754
13851776,1870206
15645014,2181478
17443465,2472681
19623626,2958515
334,825
128872,11686
303300,29345
577537,49285
930753,89601
1486769,142570
2129861,241563
2840094,326675
3684320,439103
4566071,576061
5560930,720123
6673294,891287
7878411,1077072
9217507,1260430
11006365,1489167
12126831,4144112
13827949,3811930
15813014,4385554
17588991,4830573
19941883,5582277
316,692
125637,24123
332938,65958
638443,129611
1044416,215518
1536304,329269
2148053,505863
2933105,679662
3985849,882062
4581692,1100276
5610103,1389304
6661549,1767182
7877847,2103464
9168585,2432462
10766812,2917902
12590257,3589241
15012489,3729081
16481769,4347552
19274620,4910477
19666308,5517191
363,564
124370,21185
329910,65238
643905,132014
1041483,215870
1531530,333105
2126384,503819
2849438,677078
3665154,874359
4556955,1107953
5586873,1393114
6678444,1375720
8711931,1029594
9421927,1251262
10742039,1511027
12007285,1723114
13765833,1932850
15582732,2229224
17414167,2547738
19746283,3035879
379,1096
120384,11296
332353,27951
640796,51093
1037245,88688
1537671,149590
2137746,236153
2851803,328980
3651069,434319
4560213,557837
5581128,714652
6685560,897534
7865963,1066512
9130370,1256273
10697131,1587119
12004732,1743228
13999324,1942874
15532993,2307847
17322746,2542051
19640691,3043868
392,1657
118389,11547
357853,30511
638523,48912
1041850,87731
1536189,149743
2132084,236076
2839197,335347
3651360,435293
4632487,559099
5876654,708127
6630421,885247
7867161,1026883
9139842,1233626
10621882,1438913
11983059,1913841
13929460,2266888
15587342,2418597
17209720,2981235
19390035,3936571
361,3041
121289,12069
303461,25814
645922,50039
1058692,104790
1593849,139407
2212780,276712
2870172,320920
3686480,421133
4581959,616577
5577837,884360
6673873,915741
7917277,1141860
9293577,1256228
10964262,1529579
12067569,1748894
13874225,3321943
15711481,2294309
17536322,2955013
19689598,3837575
389,1363
122165,11832
336421,26011
639382,50988
1043866,87339
1532233,150194
2131494,237592
2843346,380593
3653162,444443
4556929,605891
5544948,754419
6624775,873072
7839892,1149138
9236792,1333087
10779321,1582538
12021497,1854563
13868847,2126324
15576851,2266140
17509053,2566660
19804725,3476598
398,10017
120482,17586
332407,25161
636970,51813
1039338,87527
1534938,156819
2141548,238261
2847585,364259
3659268,428153
4555858,611121
5555554,805735
6660996,960384
7843597,1417598
9150932,1399853
10653460,1911249
12176758,2374998
13903412,2298144
15563309,2649641
17717766,3067387
19593286,3455049
373,2614
121120,12133
332785,25639
641746,50379
1039985,91771
1537061,190339
2141645,254437
2851822,329890
3656906,546121
4557994,867168
5658597,843646
6646010,1130036
7832146,1633908
9125260,1712069
10676353,1619058
12018557,2087313
13930289,2745453
17730392,3416101
18249232,2919222
21385309,3576982
348,2353
120055,12048
334207,29154
680796,50252
1077500,89336
1615602,197862
2172359,240700
2847368,321982
3645606,481210
4628372,554952
6028288,782629
6951929,1118951
8643013,1067519
9498141,1344751
11330238,1493061
12303237,1725088
13872160,1992825
16259294,2293882
17487877,2522382
19576244,3101959
395,1334
118727,13918
304600,38497
581059,52562
925730,88746
1490091,143922
2132275,242124
2846051,343419
3674226,440675
4560027,571357
5572358,730402
6690039,893318
7887420,1072869
9286529,1255019
10869255,1462633
12053493,1741388
13966516,1848157
15564579,3572855
17437035,2588220
20090270,3076081
377,1142
119121,12070
335838,29235
638722,51002
1038931,91356
1538764,148987
2137792,238330
2998506,341525
3676444,432476
4581626,562931
5559433,739368
6627850,894922
7831922,1082896
9157049,1263376
10754674,1551479
12054263,1704198
13821225,1952063
15614956,2261525
17625956,2585706
19724163,3127177
383,1603
120853,12002
333219,29896
644468,51798
1042736,90455
1534108,148482
2142092,248904
2847197,335652
3665304,442058
5434319,591285
6057019,745019
6944518,921605
8083840,1096599
9216565,1279333
10838760,1629947
12104312,1697623
13751624,2170362
15549137,2334159
17524166,2793855
19653815,3348385
381,1046
119875,12125
335300,29371
636750,52139
1044065,92930
1536721,146562
2132886,242126
2856536,344839
3668215,443758
4575499,576732
5690050,743586
6666269,910344
7840385,1055461
9148098,1287964
10644937,1576049
12071091,1729809
13997694,2067677
15461201,2597600
17376596,3060965
20620511,3201903
377,1818
120100,12637
337025,36296
640944,50541
1046970,90998
1534987,146134
2139885,249292
2846757,343431
3655566,435521
4628509,585850
5879697,732271
6623471,928046
7823675,1047027
9155415,1223989
10536875,1458351
11994126,1665584
13853133,1975979
16124667,2192927
17192617,2522737
19650931,3062356
382,1184
122337,10967
299971,30072
567238,49930
925845,93223
1499028,181638
2122461,245257
2834573,333245
3662404,458484
4559456,562450
5553657,706215
6681223,865468
7881001,1019805
9185966,1240088
10799942,1500789
12061096,1724431
14470698,1880051
17473875,2173774
18045872,2463929
20909611,4002697
369,1708
117875,10981
341197,29946
635660,49067
1043756,93447
1537291,144707
2128747,257140
2843806,327551
3659033,439686
4564365,560417
5563738,721586
6632129,867761
8054655,1058132
9239395,1207145
11550214,1411605
12452808,1611086
13967623,1856043
15611290,2171508
17536127,2465001
19513205,2850347
395,896
120384,11222
335056,28759
637767,51139
1041584,91672
1546657,144733
2134305,235536
2843705,326032
3676257,436216
4602190,559780
5593303,737615
6641188,871210
7850034,1044354
9196956,1225135
10691318,1458941
12055760,1599883
13761706,1848803
15536428,2188369
17665553,2582395
19532661,3062174
351,1375
120159,11214
339381,28583
640901,50248
1042189,89258
1529529,145438
2133717,241488
2844574,348033
3740035,435603
4585548,583731
5727050,711460
6637106,882881
7822753,1054478
9131949,1246288
10711161,1546295
12031913,1696889
13900126,1952082
15540443,2314208
17366457,2591267
19450416,3086607
375,861
120052,10935
332209,28323
641744,51286
1039686,89285
1539894,145328
2132624,238848
2850413,329924
3657867,427030
4623162,576807
5874240,723149
6667275,894195
8956647,1059136
10097541,1215766
10685559,1509202
12017052,1901896
13879507,1908425
15460287,2183788
17549497,2458151
19519458,3031756
425,866
123616,11302
306849,29017
567478,50431
935806,88284
1492080,142040
2127121,237027
2842821,346094
3672102,439866
4565104,572684
5584799,695942
6670854,866728
7884393,1037171
9243079,1247391
10956392,1479290
12092440,1664530
13808432,1877897
15683156,2171786
17578914,2543837
19887546,2958402
397,948
120426,11321
331580,30156
640506,50715
1038698,89387
1535851,145866
2133077,970117
2850477,320802
3667055,425548
4564511,565215
5585086,735066
6655684,887428
7865663,1065832
9150711,1202672
10751577,1414077
12123994,1640519
13886495,1836833
16203751,2203465
17548532,2461286
19911627,2890374
381,1270
120827,14216
334293,28331
639830,48413
1038077,87503
1536233,143430
2126527,234618
2850319,323862
3666230,436943
4561957,546512
5554830,753868
6678605,887919
7864754,1101244
9501484,1459733
10763767,1538867
12075812,2709379
13855961,2455021
15603258,2962086
19817209,3039675
20462692,4627218
395,4172
160971,13468
391044,36875
699526,62777
1095388,96102
1618529,154232
2214745,241459
2939147,392584
3748131,480783
4651075,637002
5766012,870219
6630520,963902
7843413,1160827
9124398,1472207
10642844,1854206
12334509,2121147
15497980,2598523
15469234,2595951
17332470,2963894
19548161,3070131
363,2217
122023,11147
335940,35198
640191,49528
1043856,92933
1532011,146243
2137184,239076
2854546,347947
3650964,445516
4626847,568768
5865801,736260
6629438,906105
7839770,1113524
9146552,1253260
10590502,1648747
